"Time","Uplink Rx","Downlink Rx"
2026-08-20 16:45:20,111726,203123
2026-08-20 16:45:40,111433,202511
2026-08-20 16:46:00,111572,202751
2026-08-20 16:46:20,111661,202678
2026-08-20 16:46:40,111620,202801
2026-08-20 16:47:00,111654,202735
2026-08-20 16:47:20,111767,203394
2026-08-20 16:47:40,111855,203578
2026-08-20 16:48:00,111812,203656
2026-08-20 16:48:20,111249,202496
2026-08-20 16:48:40,111135,202303
2026-08-20 16:49:00,110846,201589
2026-08-20 16:49:20,110453,200669
2026-08-20 16:49:40,110473,200554
2026-08-20 16:50:00,110455,200575
2026-08-20 16:50:20,109944,200317
2026-08-20 16:50:40,109848,200271
2026-08-20 16:51:00,110125,200836
2026-08-20 16:51:20,110617,201521
2026-08-20 16:51:40,110662,201650
2026-08-20 16:52:00,110465,201249
2026-08-20 16:52:20,110572,201360
2026-08-20 16:52:40,110774,201563
2026-08-20 16:53:00,111297,202253
2026-08-20 16:53:20,111546,202753
2026-08-20 16:53:40,111425,202591
2026-08-20 16:54:00,111731,203022
2026-08-20 16:54:20,112085,203405
2026-08-20 16:54:40,111849,203200
2026-08-20 16:55:00,111683,202794
2026-08-20 16:55:20,111810,203053
2026-08-20 16:55:40,111805,203018
2026-08-20 16:56:00,110993,201909
2026-08-20 16:56:20,110648,201495
2026-08-20 16:56:40,110584,201444
2026-08-20 16:57:00,110503,201341
2026-08-20 16:57:20,110268,201369
2026-08-20 16:57:40,110810,202126
2026-08-20 16:58:00,110883,202203
2026-08-20 16:58:20,111230,202479
2026-08-20 16:58:40,111233,202439
2026-08-20 16:59:00,111242,202404
2026-08-20 16:59:20,111191,202425
2026-08-20 16:59:40,111224,202338
2026-08-20 17:00:00,111229,202397
2026-08-20 17:00:20,111324,202443
2026-08-20 17:00:40,111293,202430
2026-08-20 17:01:00,111125,202224
2026-08-20 17:01:20,111016,202229
2026-08-20 17:01:40,111063,202213
2026-08-20 17:02:00,111095,202190
2026-08-20 17:02:20,111338,202589
2026-08-20 17:02:40,111602,202837
2026-08-20 17:03:00,111477,202830
2026-08-20 17:03:20,111472,202855
2026-08-20 17:03:40,111460,202858
2026-08-20 17:04:00,111490,202953
2026-08-20 17:04:20,111442,202857
2026-08-20 17:04:40,111564,202973
2026-08-20 17:05:00,111556,202880
2026-08-20 17:05:20,109627,202190
2026-08-20 17:05:40,104463,192918
2026-08-20 17:06:00,91213,166735
2026-08-20 17:06:20,64480,114088
2026-08-20 17:06:40,50712,87679
2026-08-20 17:07:00,37874,61647
2026-08-20 17:07:20,17365,19050
2026-08-20 17:07:40,17944,20206
2026-08-20 17:08:00,18843,22006
2026-08-20 17:08:20,21611,27540
2026-08-20 17:08:40,23477,31275
2026-08-20 17:09:00,25586,35491
2026-08-20 17:09:20,29036,42392
2026-08-20 17:09:40,30280,44879
2026-08-20 17:10:00,31200,46720
2026-08-20 17:10:20,32074,48467
2026-08-20 17:10:40,32095,48508
2026-08-20 17:11:00,32094,48509
2026-08-20 17:11:20,32095,48508
2026-08-20 17:11:40,32094,48508
2026-08-20 17:12:00,32094,48508
2026-08-20 17:12:20,32094,48508
2026-08-20 17:12:40,32095,48508
2026-08-20 17:13:00,32094,48508
2026-08-20 17:13:20,32094,48508
2026-08-20 17:13:40,32094,48508
2026-08-20 17:14:00,32095,48508
2026-08-20 17:14:20,32094,48508
2026-08-20 17:14:40,32094,48509
2026-08-20 17:15:00,32094,48508
2026-08-20 17:15:20,32094,48509
2026-08-20 17:15:40,32094,48508
2026-08-20 17:16:00,32094,48508
2026-08-20 17:16:20,32094,48508
2026-08-20 17:16:40,32094,48508
2026-08-20 17:17:00,30525,45371
2026-08-20 17:17:20,26240,36800
2026-08-20 17:17:40,24097,32514
2026-08-20 17:18:00,21955,28228
2026-08-20 17:18:20,17669,19657
2026-08-20 17:18:40,17094,18508
2026-08-20 17:19:00,17094,18508
2026-08-20 17:19:20,17094,18508
2026-08-20 17:19:40,17094,18508
2026-08-20 17:20:00,17094,18508
