"Time","upf=upf-1:loc=1:dnn=1:dscp0","upf=upf-2:loc=1:dnn=1:dscp0","upf=upf-3:loc=1:dnn=1:dscp0","upf=upf-4:loc=1:dnn=1:dscp0","upf=upf-1:loc=2:dnn=1:dscp0","upf=upf-2:loc=2:dnn=1:dscp0","upf=upf-3:loc=2:dnn=1:dscp0","upf=upf-4:loc=2:dnn=1:dscp0","upf=upf-1:loc=3:dnn=1:dscp0","upf=upf-2:loc=3:dnn=1:dscp0","upf=upf-3:loc=3:dnn=1:dscp0","upf=upf-4:loc=3:dnn=1:dscp0","upf=upf-1:loc=4:dnn=1:dscp0","upf=upf-2:loc=4:dnn=1:dscp0","upf=upf-3:loc=4:dnn=1:dscp0","upf=upf-4:loc=4:dnn=1:dscp0","upf=upf-1:loc=1:dnn=2:dscp0","upf=upf-2:loc=1:dnn=2:dscp0","upf=upf-3:loc=1:dnn=2:dscp0","upf=upf-4:loc=1:dnn=2:dscp0","upf=upf-1:loc=2:dnn=2:dscp0","upf=upf-2:loc=2:dnn=2:dscp0","upf=upf-3:loc=2:dnn=2:dscp0","upf=upf-4:loc=2:dnn=2:dscp0","upf=upf-1:loc=3:dnn=2:dscp0","upf=upf-2:loc=3:dnn=2:dscp0","upf=upf-3:loc=3:dnn=2:dscp0","upf=upf-4:loc=3:dnn=2:dscp0","upf=upf-1:loc=4:dnn=2:dscp0","upf=upf-2:loc=4:dnn=2:dscp0","upf=upf-3:loc=4:dnn=2:dscp0","upf=upf-4:loc=4:dnn=2:dscp0"
2026-08-20 19:56:00,0 p/s,0 p/s,0 p/s,0 p/s,29.7 p/s,0 p/s,0 p/s,7.59 kp/s,3.61 kp/s,4.00 kp/s,0 p/s,0 p/s,6.12 kp/s,1.45 kp/s,46.7 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,648 p/s,0 p/s,0 p/s,21.1 kp/s,17.7 kp/s,3.99 kp/s,0 p/s,0 p/s,3.62 kp/s,17.2 kp/s,925 p/s,0 p/s
2026-08-20 19:56:20,0 p/s,0 p/s,0 p/s,0 p/s,29.7 p/s,0 p/s,0 p/s,7.65 kp/s,3.64 kp/s,4.03 kp/s,0 p/s,0 p/s,6.16 kp/s,1.46 kp/s,47.2 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,640 p/s,0 p/s,0 p/s,20.8 kp/s,17.5 kp/s,3.94 kp/s,0 p/s,0 p/s,3.58 kp/s,17.0 kp/s,914 p/s,0 p/s
2026-08-20 19:56:40,0 p/s,0 p/s,0 p/s,0 p/s,29.4 p/s,0 p/s,0 p/s,7.57 kp/s,3.62 kp/s,3.98 kp/s,0 p/s,0 p/s,6.09 kp/s,1.45 kp/s,47.5 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,643 p/s,0 p/s,0 p/s,20.9 kp/s,17.5 kp/s,3.94 kp/s,0 p/s,0 p/s,3.59 kp/s,17.1 kp/s,915 p/s,0 p/s
2026-08-20 19:57:00,0 p/s,0 p/s,0 p/s,0 p/s,29.7 p/s,0 p/s,0 p/s,7.62 kp/s,3.63 kp/s,4.00 kp/s,0 p/s,0 p/s,6.14 kp/s,1.45 kp/s,46.8 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,643 p/s,0 p/s,0 p/s,21.0 kp/s,17.6 kp/s,3.97 kp/s,0 p/s,0 p/s,3.61 kp/s,17.1 kp/s,918 p/s,0 p/s
2026-08-20 19:57:20,0 p/s,0 p/s,0 p/s,0 p/s,30.6 p/s,0 p/s,0 p/s,8.04 kp/s,3.81 kp/s,4.26 kp/s,0 p/s,0 p/s,6.49 kp/s,1.53 kp/s,49.1 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,526 p/s,0 p/s,0 p/s,20.2 kp/s,17.1 kp/s,3.78 kp/s,0 p/s,0 p/s,3.39 kp/s,16.9 kp/s,935 p/s,0 p/s
2026-08-20 19:57:40,0 p/s,0 p/s,0 p/s,0 p/s,31.6 p/s,0 p/s,0 p/s,8.19 kp/s,3.90 kp/s,4.32 kp/s,0 p/s,0 p/s,6.61 kp/s,1.56 kp/s,50.2 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,507 p/s,0 p/s,0 p/s,20.6 kp/s,17.5 kp/s,3.80 kp/s,0 p/s,0 p/s,3.42 kp/s,17.2 kp/s,974 p/s,0 p/s
2026-08-20 19:58:00,0 p/s,0 p/s,0 p/s,0 p/s,33.1 p/s,0 p/s,0 p/s,8.45 kp/s,4.05 kp/s,4.44 kp/s,0 p/s,0 p/s,6.82 kp/s,1.62 kp/s,52.5 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,376 p/s,0 p/s,0 p/s,20.5 kp/s,17.5 kp/s,3.57 kp/s,0 p/s,0 p/s,3.36 kp/s,17.3 kp/s,894 p/s,0 p/s
2026-08-20 19:58:20,0 p/s,0 p/s,0 p/s,0 p/s,33.4 p/s,0 p/s,0 p/s,8.61 kp/s,4.12 kp/s,4.54 kp/s,0 p/s,0 p/s,6.95 kp/s,1.65 kp/s,53.7 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,271 p/s,0 p/s,0 p/s,16.1 kp/s,14.0 kp/s,2.68 kp/s,0 p/s,0 p/s,2.58 kp/s,13.7 kp/s,871 p/s,0 p/s
2026-08-20 19:58:40,0 p/s,0 p/s,0 p/s,0 p/s,34.3 p/s,0 p/s,0 p/s,9.03 kp/s,4.34 kp/s,4.71 kp/s,0 p/s,0 p/s,7.30 kp/s,1.73 kp/s,57.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,90.5 p/s,0 p/s,0 p/s,14.4 kp/s,12.7 kp/s,2.12 kp/s,0 p/s,0 p/s,2.21 kp/s,12.3 kp/s,782 p/s,0 p/s
2026-08-20 19:59:00,0 p/s,0 p/s,0 p/s,0 p/s,34.7 p/s,0 p/s,0 p/s,9.17 kp/s,4.42 kp/s,4.78 kp/s,0 p/s,0 p/s,7.40 kp/s,1.76 kp/s,58.7 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,18.9 p/s,0 p/s,0 p/s,13.4 kp/s,12.0 kp/s,1.47 kp/s,0 p/s,0 p/s,1.25 kp/s,11.7 kp/s,780 p/s,0 p/s
