"Time","upf=upf-1:loc=1:dnn=1:dscp0","upf=upf-2:loc=1:dnn=1:dscp0","upf=upf-3:loc=1:dnn=1:dscp0","upf=upf-4:loc=1:dnn=1:dscp0","upf=upf-1:loc=2:dnn=1:dscp0","upf=upf-2:loc=2:dnn=1:dscp0","upf=upf-3:loc=2:dnn=1:dscp0","upf=upf-4:loc=2:dnn=1:dscp0","upf=upf-1:loc=3:dnn=1:dscp0","upf=upf-2:loc=3:dnn=1:dscp0","upf=upf-3:loc=3:dnn=1:dscp0","upf=upf-4:loc=3:dnn=1:dscp0","upf=upf-1:loc=4:dnn=1:dscp0","upf=upf-2:loc=4:dnn=1:dscp0","upf=upf-3:loc=4:dnn=1:dscp0","upf=upf-4:loc=4:dnn=1:dscp0","upf=upf-1:loc=1:dnn=2:dscp0","upf=upf-2:loc=1:dnn=2:dscp0","upf=upf-3:loc=1:dnn=2:dscp0","upf=upf-4:loc=1:dnn=2:dscp0","upf=upf-1:loc=2:dnn=2:dscp0","upf=upf-2:loc=2:dnn=2:dscp0","upf=upf-3:loc=2:dnn=2:dscp0","upf=upf-4:loc=2:dnn=2:dscp0","upf=upf-1:loc=3:dnn=2:dscp0","upf=upf-2:loc=3:dnn=2:dscp0","upf=upf-3:loc=3:dnn=2:dscp0","upf=upf-4:loc=3:dnn=2:dscp0","upf=upf-1:loc=4:dnn=2:dscp0","upf=upf-2:loc=4:dnn=2:dscp0","upf=upf-3:loc=4:dnn=2:dscp0","upf=upf-4:loc=4:dnn=2:dscp0"
2026-08-20 18:00:40,0 p/s,0 p/s,0 p/s,0 p/s,66 p/s,0 p/s,0 p/s,11.4 kp/s,7.34 kp/s,4.26 kp/s,0 p/s,0 p/s,5.74 kp/s,2.22 kp/s,76.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,31.9 p/s,0 p/s,0 p/s,3.95 kp/s,12.2 kp/s,969 p/s,0 p/s,0 p/s,1.24 kp/s,3.53 kp/s,677 p/s,0 p/s
2026-08-20 18:01:00,0 p/s,0 p/s,0 p/s,0 p/s,65.3 p/s,0 p/s,0 p/s,11.4 kp/s,7.32 kp/s,4.27 kp/s,0 p/s,0 p/s,5.74 kp/s,2.22 kp/s,75.7 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,32 p/s,0 p/s,0 p/s,3.94 kp/s,12.1 kp/s,969 p/s,0 p/s,0 p/s,1.24 kp/s,3.52 kp/s,676 p/s,0 p/s
2026-08-20 18:01:20,0 p/s,0 p/s,0 p/s,0 p/s,65.7 p/s,0 p/s,0 p/s,11.4 kp/s,7.30 kp/s,4.29 kp/s,0 p/s,0 p/s,5.73 kp/s,2.22 kp/s,75.5 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,32.5 p/s,0 p/s,0 p/s,4.00 kp/s,12.3 kp/s,986 p/s,0 p/s,0 p/s,1.26 kp/s,3.58 kp/s,682 p/s,0 p/s
2026-08-20 18:01:40,0 p/s,0 p/s,0 p/s,0 p/s,66.5 p/s,0 p/s,0 p/s,11.4 kp/s,7.28 kp/s,4.25 kp/s,0 p/s,0 p/s,5.71 kp/s,2.21 kp/s,75.5 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,32.4 p/s,0 p/s,0 p/s,4.00 kp/s,12.3 kp/s,982 p/s,0 p/s,0 p/s,1.26 kp/s,3.57 kp/s,686 p/s,0 p/s
2026-08-20 18:02:00,0 p/s,0 p/s,0 p/s,0 p/s,65.2 p/s,0 p/s,0 p/s,11.3 kp/s,7.19 kp/s,4.26 kp/s,0 p/s,0 p/s,5.65 kp/s,2.19 kp/s,73.9 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,32.5 p/s,0 p/s,0 p/s,4.00 kp/s,12.3 kp/s,985 p/s,0 p/s,0 p/s,1.26 kp/s,3.58 kp/s,685 p/s,0 p/s
2026-08-20 18:02:20,0 p/s,0 p/s,0 p/s,0 p/s,66.5 p/s,0 p/s,0 p/s,11.4 kp/s,7.29 kp/s,4.30 kp/s,0 p/s,0 p/s,5.74 kp/s,2.22 kp/s,74.8 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,31.7 p/s,0 p/s,0 p/s,3.96 kp/s,12.2 kp/s,973 p/s,0 p/s,0 p/s,1.24 kp/s,3.53 kp/s,679 p/s,0 p/s
2026-08-20 18:02:40,0 p/s,0 p/s,0 p/s,0 p/s,65.7 p/s,0 p/s,0 p/s,11.3 kp/s,7.20 kp/s,4.28 kp/s,0 p/s,0 p/s,5.70 kp/s,2.21 kp/s,74.1 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,31.6 p/s,0 p/s,0 p/s,3.94 kp/s,12.2 kp/s,971 p/s,0 p/s,0 p/s,1.24 kp/s,3.53 kp/s,678 p/s,0 p/s
2026-08-20 18:03:00,0 p/s,0 p/s,0 p/s,0 p/s,66.5 p/s,0 p/s,0 p/s,11.5 kp/s,7.34 kp/s,4.26 kp/s,0 p/s,0 p/s,5.75 kp/s,2.22 kp/s,76.5 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,32.4 p/s,0 p/s,0 p/s,3.98 kp/s,12.3 kp/s,977 p/s,0 p/s,0 p/s,1.25 kp/s,3.56 kp/s,682 p/s,0 p/s
2026-08-20 18:03:20,0 p/s,0 p/s,0 p/s,0 p/s,65.2 p/s,0 p/s,0 p/s,11.3 kp/s,7.20 kp/s,4.22 kp/s,0 p/s,0 p/s,5.66 kp/s,2.19 kp/s,74.7 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,32.4 p/s,0 p/s,0 p/s,3.95 kp/s,12.1 kp/s,970 p/s,0 p/s,0 p/s,1.24 kp/s,3.52 kp/s,670 p/s,0 p/s
2026-08-20 18:03:40,0 p/s,0 p/s,0 p/s,0 p/s,66.4 p/s,0 p/s,0 p/s,11.3 kp/s,7.20 kp/s,4.25 kp/s,0 p/s,0 p/s,5.68 kp/s,2.20 kp/s,74.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,32.3 p/s,0 p/s,0 p/s,4.00 kp/s,12.3 kp/s,984 p/s,0 p/s,0 p/s,1.26 kp/s,3.58 kp/s,685 p/s,0 p/s
