"Time","DL Forwarding Efficiency"
2026-08-20 16:46:00,100
2026-08-20 16:46:20,100
2026-08-20 16:46:40,100
2026-08-20 16:47:00,100
2026-08-20 16:47:20,100
2026-08-20 16:47:40,100
2026-08-20 16:48:00,100
2026-08-20 16:48:20,100
2026-08-20 16:48:40,100.0
2026-08-20 16:49:00,100.0
2026-08-20 16:49:20,100.0
2026-08-20 16:49:40,100.0
2026-08-20 16:50:00,100.0
2026-08-20 16:50:20,100.0
2026-08-20 16:50:40,100
2026-08-20 16:51:00,100
2026-08-20 16:51:20,100
2026-08-20 16:51:40,100.0
2026-08-20 16:52:00,100.0
2026-08-20 16:52:20,100.0
2026-08-20 16:52:40,100.0
2026-08-20 16:53:00,100.0
2026-08-20 16:53:20,100.0
2026-08-20 16:53:40,100
2026-08-20 16:54:00,100
2026-08-20 16:54:20,100
2026-08-20 16:54:40,100
2026-08-20 16:55:00,100
2026-08-20 16:55:20,100
2026-08-20 16:55:40,100
2026-08-20 16:56:00,100
2026-08-20 16:56:20,100
2026-08-20 16:56:40,100
2026-08-20 16:57:00,100
2026-08-20 16:57:20,100
2026-08-20 16:57:40,100
2026-08-20 16:58:00,100
2026-08-20 16:58:20,100
2026-08-20 16:58:40,100
2026-08-20 16:59:00,100
2026-08-20 16:59:20,100
2026-08-20 16:59:40,100
2026-08-20 17:00:00,100
2026-08-20 17:00:20,100
2026-08-20 17:00:40,100
2026-08-20 17:01:00,100
2026-08-20 17:01:20,100
2026-08-20 17:01:40,100
2026-08-20 17:02:00,100
2026-08-20 17:02:20,100
2026-08-20 17:02:40,100.0
2026-08-20 17:03:00,100.0
2026-08-20 17:03:20,100.0
2026-08-20 17:03:40,100.0
2026-08-20 17:04:00,100.0
2026-08-20 17:04:20,100.0
2026-08-20 17:04:40,100
2026-08-20 17:05:00,100
2026-08-20 17:05:20,100
2026-08-20 17:05:40,100
2026-08-20 17:06:00,100
2026-08-20 17:06:20,100
2026-08-20 17:06:40,100
2026-08-20 17:07:00,100
2026-08-20 17:07:20,100
2026-08-20 17:07:40,100.0
2026-08-20 17:08:00,100.0
2026-08-20 17:08:20,100.0
2026-08-20 17:08:40,100.0
2026-08-20 17:09:00,100.0
2026-08-20 17:09:20,100.0
2026-08-20 17:09:40,100.0
2026-08-20 17:10:00,100.0
2026-08-20 17:10:20,100.0
2026-08-20 17:10:40,100
2026-08-20 17:11:00,100
2026-08-20 17:11:20,100
2026-08-20 17:11:40,100.0
2026-08-20 17:12:00,100.0
2026-08-20 17:12:20,100.0
2026-08-20 17:12:40,100.0
2026-08-20 17:13:00,100.0
2026-08-20 17:13:20,100.0
2026-08-20 17:13:40,100.0
2026-08-20 17:14:00,100.0
2026-08-20 17:14:20,100.0
2026-08-20 17:14:40,100
2026-08-20 17:15:00,100
2026-08-20 17:15:20,100
2026-08-20 17:15:40,100
2026-08-20 17:16:00,100
2026-08-20 17:16:20,100
2026-08-20 17:16:40,100
2026-08-20 17:17:00,100
2026-08-20 17:17:20,100
2026-08-20 17:17:40,100
2026-08-20 17:18:00,100
2026-08-20 17:18:20,100
2026-08-20 17:18:40,100
2026-08-20 17:19:00,100
2026-08-20 17:19:20,100
2026-08-20 17:19:40,100
2026-08-20 17:20:00,100
2026-08-20 17:20:20,100
2026-08-20 17:20:40,100
2026-08-20 17:21:00,100
2026-08-20 17:21:20,100
2026-08-20 17:21:40,100
2026-08-20 17:22:00,100
2026-08-20 17:22:20,100
2026-08-20 17:22:40,100
2026-08-20 17:23:00,100
2026-08-20 17:23:20,100
2026-08-20 17:23:40,100.0
2026-08-20 17:24:00,100.0
2026-08-20 17:24:20,100.0
2026-08-20 17:24:40,100.0
2026-08-20 17:25:00,100.0
2026-08-20 17:25:20,100.0
2026-08-20 17:25:40,100.0
2026-08-20 17:26:00,100.0
2026-08-20 17:26:20,100.0
2026-08-20 17:26:40,100.0
2026-08-20 17:27:00,100.0
2026-08-20 17:27:20,100.0
2026-08-20 17:27:40,100
2026-08-20 17:28:00,100
2026-08-20 17:28:20,100
2026-08-20 17:28:40,100
2026-08-20 17:29:00,100
2026-08-20 17:29:20,100
2026-08-20 17:29:40,100.0
2026-08-20 17:30:00,100.0
2026-08-20 17:30:20,100.0
2026-08-20 17:30:40,100
2026-08-20 17:31:00,100
2026-08-20 17:31:20,100
2026-08-20 17:31:40,100
2026-08-20 17:32:00,100
2026-08-20 17:32:20,100
2026-08-20 17:32:40,100.0
2026-08-20 17:33:00,100.0
2026-08-20 17:33:20,100.0
2026-08-20 17:33:40,100.0
2026-08-20 17:34:00,100.0
2026-08-20 17:34:20,100.0
2026-08-20 17:34:40,100
2026-08-20 17:35:00,100
2026-08-20 17:35:20,100
2026-08-20 17:35:40,100.0
2026-08-20 17:36:00,100.0
2026-08-20 17:36:20,100.0
2026-08-20 17:36:40,100.0
2026-08-20 17:37:00,100.0
2026-08-20 17:37:20,100.0
2026-08-20 17:37:40,100
2026-08-20 17:38:00,100
2026-08-20 17:38:20,100
2026-08-20 17:38:40,100
2026-08-20 17:39:00,100
2026-08-20 17:39:20,100
2026-08-20 17:39:40,100
2026-08-20 17:40:00,100
2026-08-20 17:40:20,100
2026-08-20 17:40:40,100.0
2026-08-20 17:41:00,100.0
2026-08-20 17:41:20,100.0
2026-08-20 17:41:40,100.0
2026-08-20 17:42:00,100.0
2026-08-20 17:42:20,100.0
2026-08-20 17:42:40,100
2026-08-20 17:43:00,100
2026-08-20 17:43:20,100
2026-08-20 17:43:40,100
2026-08-20 17:44:00,100
2026-08-20 17:44:20,100
2026-08-20 17:44:40,100
2026-08-20 17:45:00,100
2026-08-20 17:45:20,100
2026-08-20 17:45:40,100.0
2026-08-20 17:46:00,100.0
2026-08-20 17:46:20,100.0
2026-08-20 17:46:40,100
2026-08-20 17:47:00,100
2026-08-20 17:47:20,100
2026-08-20 17:47:40,100
2026-08-20 17:48:00,100
2026-08-20 17:48:20,100
2026-08-20 17:48:40,100
2026-08-20 17:49:00,100
2026-08-20 17:49:20,100
2026-08-20 17:49:40,100
2026-08-20 17:50:00,100
2026-08-20 17:50:20,100
2026-08-20 17:50:40,100
2026-08-20 17:51:00,100
2026-08-20 17:51:20,100
2026-08-20 17:51:40,100
2026-08-20 17:52:00,100
2026-08-20 17:52:20,100
2026-08-20 17:52:40,100
2026-08-20 17:53:00,100
2026-08-20 17:53:20,100
2026-08-20 17:53:40,100
2026-08-20 17:54:00,100
2026-08-20 17:54:20,100
2026-08-20 17:54:40,100.0
2026-08-20 17:55:00,100.0
2026-08-20 17:55:20,100.0
2026-08-20 17:55:40,100
2026-08-20 17:56:00,100
2026-08-20 17:56:20,100
2026-08-20 17:56:40,100.0
2026-08-20 17:57:00,100.0
2026-08-20 17:57:20,100.0
2026-08-20 17:57:40,100
2026-08-20 17:58:00,100
2026-08-20 17:58:20,100
2026-08-20 17:58:40,100.0
2026-08-20 17:59:00,100.0
2026-08-20 17:59:20,100.0
2026-08-20 17:59:40,100
2026-08-20 18:00:00,100
2026-08-20 18:00:20,100
2026-08-20 18:00:40,100.0
2026-08-20 18:01:00,100.0
2026-08-20 18:01:20,100.0
2026-08-20 18:01:40,100
2026-08-20 18:02:00,100
2026-08-20 18:02:20,100
2026-08-20 18:02:40,100.0
2026-08-20 18:03:00,100.0
2026-08-20 18:03:20,100.0
2026-08-20 18:03:40,100
2026-08-20 18:04:00,100
2026-08-20 18:04:20,100
2026-08-20 18:04:40,100
2026-08-20 18:05:00,100
2026-08-20 18:05:20,100
2026-08-20 18:05:40,100.0
2026-08-20 18:06:00,100.0
2026-08-20 18:06:20,100.0
2026-08-20 18:06:40,100.0
2026-08-20 18:07:00,100.0
2026-08-20 18:07:20,100.0
2026-08-20 18:07:40,100
2026-08-20 18:08:00,100
2026-08-20 18:08:20,100
2026-08-20 18:08:40,100
2026-08-20 18:09:00,100
2026-08-20 18:09:20,100
2026-08-20 18:09:40,100.0
2026-08-20 18:10:00,100.0
2026-08-20 18:10:20,100.0
2026-08-20 18:10:40,100.0
2026-08-20 18:11:00,100.0
2026-08-20 18:11:20,100.0
2026-08-20 18:11:40,100
2026-08-20 18:12:00,100
2026-08-20 18:12:20,100
2026-08-20 18:12:40,100.0
2026-08-20 18:13:00,100.0
2026-08-20 18:13:20,100.0
2026-08-20 18:13:40,100.0
2026-08-20 18:14:00,100.0
2026-08-20 18:14:20,100.0
2026-08-20 18:14:40,100
2026-08-20 18:15:00,100
2026-08-20 18:15:20,100
2026-08-20 18:15:40,100
2026-08-20 18:16:00,100
2026-08-20 18:16:20,100
2026-08-20 18:16:40,100.0
