"Time","Uplink Rx","Downlink Rx"
2026-08-20 16:43:20,103040,199695
2026-08-20 16:43:40,103032,199615
2026-08-20 16:44:00,102880,199352
2026-08-20 16:44:20,102555,198768
2026-08-20 16:44:40,102907,199458
2026-08-20 16:45:00,103076,199836
2026-08-20 16:45:20,103546,200814
2026-08-20 16:45:40,103292,200222
2026-08-20 16:46:00,103357,200348
2026-08-20 16:46:20,103314,200209
2026-08-20 16:46:40,103505,200602
2026-08-20 16:47:00,103292,200201
2026-08-20 16:47:20,103660,201012
2026-08-20 16:47:40,103893,201453
2026-08-20 16:48:00,103851,201406
2026-08-20 16:48:20,103348,200452
2026-08-20 16:48:40,103131,200029
2026-08-20 16:49:00,102791,199281
2026-08-20 16:49:20,102425,198525
2026-08-20 16:49:40,102281,198226
2026-08-20 16:50:00,102240,198244
2026-08-20 16:50:20,101993,197871
2026-08-20 16:50:40,102126,198143
2026-08-20 16:51:00,102523,198911
2026-08-20 16:51:20,102812,199453
2026-08-20 16:51:40,102742,199390
2026-08-20 16:52:00,102505,198934
2026-08-20 16:52:20,102787,199333
2026-08-20 16:52:40,102864,199456
2026-08-20 16:53:00,103201,200101
2026-08-20 16:53:20,103382,200468
2026-08-20 16:53:40,103398,200529
2026-08-20 16:54:00,103645,200935
2026-08-20 16:54:20,103714,201035
2026-08-20 16:54:40,103636,200895
2026-08-20 16:55:00,103504,200585
2026-08-20 16:55:20,103698,200885
2026-08-20 16:55:40,103413,200513
2026-08-20 16:56:00,102960,199716
2026-08-20 16:56:20,102802,199452
2026-08-20 16:56:40,102683,199254
2026-08-20 16:57:00,102600,199213
2026-08-20 16:57:20,102862,199708
2026-08-20 16:57:40,103173,200286
2026-08-20 16:58:00,103284,200410
2026-08-20 16:58:20,103313,200436
2026-08-20 16:58:40,103325,200467
2026-08-20 16:59:00,103236,200341
2026-08-20 16:59:20,103241,200333
2026-08-20 16:59:40,103244,200291
2026-08-20 17:00:00,103316,200410
2026-08-20 17:00:20,103303,200387
2026-08-20 17:00:40,103225,200287
2026-08-20 17:01:00,103092,200078
2026-08-20 17:01:20,103175,200167
2026-08-20 17:01:40,103259,200284
2026-08-20 17:02:00,103220,200256
2026-08-20 17:02:20,103330,200503
2026-08-20 17:02:40,103513,200765
2026-08-20 17:03:00,103504,200799
2026-08-20 17:03:20,103504,200833
2026-08-20 17:03:40,103537,200884
2026-08-20 17:04:00,103540,200911
2026-08-20 17:04:20,103489,200847
2026-08-20 17:04:40,103540,200906
2026-08-20 17:05:00,103482,200796
2026-08-20 17:05:20,103281,200460
2026-08-20 17:05:40,96032,185211
2026-08-20 17:06:00,82229,156705
2026-08-20 17:06:20,54219,99231
2026-08-20 17:06:40,40310,70666
2026-08-20 17:07:00,26537,42294
2026-08-20 17:07:20,6202,560
2026-08-20 17:07:40,6202,560
2026-08-20 17:08:00,6202,560
2026-08-20 17:08:20,6203,560
2026-08-20 17:08:40,6202,560
2026-08-20 17:09:00,6203,560
2026-08-20 17:09:20,6202,560
2026-08-20 17:09:40,6202,560
2026-08-20 17:10:00,6202,560
2026-08-20 17:10:20,6202,560
2026-08-20 17:10:40,6202,560
2026-08-20 17:11:00,6202,560
2026-08-20 17:11:20,6202,560
2026-08-20 17:11:40,6202,560
2026-08-20 17:12:00,6202,560
2026-08-20 17:12:20,6202,560
2026-08-20 17:12:40,6202,560
2026-08-20 17:13:00,6202,560
2026-08-20 17:13:20,6202,560
2026-08-20 17:13:40,6202,560
2026-08-20 17:14:00,6202,560
2026-08-20 17:14:20,6202,560
2026-08-20 17:14:40,6202,560
2026-08-20 17:15:00,6202,560
2026-08-20 17:15:20,6202,560
2026-08-20 17:15:40,6202,560
2026-08-20 17:16:00,6202,560
2026-08-20 17:16:20,6202,560
2026-08-20 17:16:40,6202,560
2026-08-20 17:17:00,6202,560
2026-08-20 17:17:20,6202,560
2026-08-20 17:17:40,6201,560
2026-08-20 17:18:00,6202,560
2026-08-20 17:18:20,6202,560
2026-08-20 17:18:40,6202,560
2026-08-20 17:19:00,6202,560
2026-08-20 17:19:20,6202,560
2026-08-20 17:19:40,6202,560
2026-08-20 17:20:00,6202,560
2026-08-20 17:20:20,6202,560
2026-08-20 17:20:40,6202,560
2026-08-20 17:21:00,6202,560
2026-08-20 17:21:20,6202,560
2026-08-20 17:21:40,6202,560
2026-08-20 17:22:00,6202,560
2026-08-20 17:22:20,6202,560
2026-08-20 17:22:40,6202,560
2026-08-20 17:23:00,6202,560
2026-08-20 17:23:20,6202,560
2026-08-20 17:23:40,7166,2710
2026-08-20 17:24:00,8552,5943
