"UPF0","UPF0"
2026-08-20 16:45:00,0.193
2026-08-20 16:45:15,0.193
2026-08-20 16:45:30,0.193
2026-08-20 16:45:45,0.205
2026-08-20 16:46:00,0.205
2026-08-20 16:46:15,0.205
2026-08-20 16:46:30,0.205
2026-08-20 16:46:45,0.205
2026-08-20 16:47:00,0.205
2026-08-20 16:47:15,0.205
2026-08-20 16:47:30,0.205
2026-08-20 16:47:45,0.205
2026-08-20 16:48:00,0.205
2026-08-20 16:48:15,0.205
2026-08-20 16:48:30,0.205
2026-08-20 16:48:45,0.205
2026-08-20 16:49:00,0.205
2026-08-20 16:49:15,0.205
2026-08-20 16:49:30,0.205
2026-08-20 16:49:45,0.205
2026-08-20 16:50:00,0.205
2026-08-20 16:50:15,0.205
2026-08-20 16:50:30,0.205
2026-08-20 16:50:45,0.204
2026-08-20 16:51:00,0.204
2026-08-20 16:51:15,0.204
2026-08-20 16:51:30,0.204
2026-08-20 16:51:45,0.204
2026-08-20 16:52:00,0.204
2026-08-20 16:52:15,0.204
2026-08-20 16:52:30,0.204
2026-08-20 16:52:45,0.204
2026-08-20 16:53:00,0.204
2026-08-20 16:53:15,0.204
2026-08-20 16:53:30,0.204
2026-08-20 16:53:45,0.204
2026-08-20 16:54:00,0.204
2026-08-20 16:54:15,0.204
2026-08-20 16:54:30,0.204
2026-08-20 16:54:45,0.205
2026-08-20 16:55:00,0.205
2026-08-20 16:55:15,0.205
2026-08-20 16:55:30,0.205
2026-08-20 16:55:45,0.205
2026-08-20 16:56:00,0.205
2026-08-20 16:56:15,0.205
2026-08-20 16:56:30,0.205
2026-08-20 16:56:45,0.205
2026-08-20 16:57:00,0.205
2026-08-20 16:57:15,0.205
2026-08-20 16:57:30,0.205
2026-08-20 16:57:45,0.205
2026-08-20 16:58:00,0.205
2026-08-20 16:58:15,0.205
2026-08-20 16:58:30,0.205
2026-08-20 16:58:45,0.205
2026-08-20 16:59:00,0.205
2026-08-20 16:59:15,0.205
2026-08-20 16:59:30,0.205
2026-08-20 16:59:45,0.205
2026-08-20 17:00:00,0.205
2026-08-20 17:00:15,0.205
2026-08-20 17:00:30,0.205
2026-08-20 17:00:45,0.205
2026-08-20 17:01:00,0.205
2026-08-20 17:01:15,0.205
2026-08-20 17:01:30,0.205
2026-08-20 17:01:45,0.205
2026-08-20 17:02:00,0.205
2026-08-20 17:02:15,0.205
2026-08-20 17:02:30,0.205
2026-08-20 17:02:45,0.205
2026-08-20 17:03:00,0.205
2026-08-20 17:03:15,0.205
2026-08-20 17:03:30,0.205
2026-08-20 17:03:45,0.205
2026-08-20 17:04:00,0.205
2026-08-20 17:04:15,0.205
2026-08-20 17:04:30,0.205
2026-08-20 17:04:45,0.205
2026-08-20 17:05:00,0.205
2026-08-20 17:05:15,0.205
2026-08-20 17:05:30,0.205
2026-08-20 17:05:45,0.205
2026-08-20 17:06:00,0.205
2026-08-20 17:06:15,0.205
2026-08-20 17:06:30,0.205
2026-08-20 17:06:45,0.169
2026-08-20 17:07:00,0.169
2026-08-20 17:07:15,0.169
2026-08-20 17:07:30,0.169
2026-08-20 17:07:45,0.127
2026-08-20 17:08:00,0.127
2026-08-20 17:08:15,0.127
2026-08-20 17:08:30,0.127
2026-08-20 17:08:45,0.0851
2026-08-20 17:09:00,0.0851
2026-08-20 17:09:15,0.0851
2026-08-20 17:09:30,0.0851
2026-08-20 17:09:45,0.0433
2026-08-20 17:10:00,0.0433
2026-08-20 17:10:15,0.0433
2026-08-20 17:10:30,0.0433
2026-08-20 17:10:45,0.00726
2026-08-20 17:11:00,0.00726
2026-08-20 17:11:15,0.00726
2026-08-20 17:11:30,0.00726
2026-08-20 17:11:45,0.00726
2026-08-20 17:12:00,0.00726
2026-08-20 17:12:15,0.00726
2026-08-20 17:12:30,0.00726
2026-08-20 17:12:45,0.00726
2026-08-20 17:13:00,0.00726
2026-08-20 17:13:15,0.00726
2026-08-20 17:13:30,0.00726
2026-08-20 17:13:45,0.00726
2026-08-20 17:14:00,0.00726
2026-08-20 17:14:15,0.00726
2026-08-20 17:14:30,0.00726
2026-08-20 17:14:45,0.00726
2026-08-20 17:15:00,0.00726
2026-08-20 17:15:15,0.00726
2026-08-20 17:15:30,0.00726
