"UPF0","UPF0"
2026-08-20 16:42:45,0.0475
2026-08-20 16:43:00,0.0475
2026-08-20 16:43:15,0.0475
2026-08-20 16:43:30,0.0475
2026-08-20 16:43:45,0.0439
2026-08-20 16:44:00,0.0439
2026-08-20 16:44:15,0.0439
2026-08-20 16:44:30,0.0439
2026-08-20 16:44:45,0.0381
2026-08-20 16:45:00,0.0381
2026-08-20 16:45:15,0.0381
2026-08-20 16:45:30,0.0381
2026-08-20 16:45:45,0.0340
2026-08-20 16:46:00,0.0340
2026-08-20 16:46:15,0.0340
2026-08-20 16:46:30,0.0340
2026-08-20 16:46:45,0.0348
2026-08-20 16:47:00,0.0348
2026-08-20 16:47:15,0.0348
2026-08-20 16:47:30,0.0348
2026-08-20 16:47:45,0.0342
2026-08-20 16:48:00,0.0342
2026-08-20 16:48:15,0.0342
2026-08-20 16:48:30,0.0342
2026-08-20 16:48:45,0.0347
2026-08-20 16:49:00,0.0347
2026-08-20 16:49:15,0.0347
2026-08-20 16:49:30,0.0347
2026-08-20 16:49:45,0.0344
2026-08-20 16:50:00,0.0344
2026-08-20 16:50:15,0.0344
2026-08-20 16:50:30,0.0344
2026-08-20 16:50:45,0.0343
2026-08-20 16:51:00,0.0343
2026-08-20 16:51:15,0.0343
2026-08-20 16:51:30,0.0343
2026-08-20 16:51:45,0.0340
2026-08-20 16:52:00,0.0340
2026-08-20 16:52:15,0.0340
2026-08-20 16:52:30,0.0340
2026-08-20 16:52:45,0.0340
2026-08-20 16:53:00,0.0340
2026-08-20 16:53:15,0.0340
2026-08-20 16:53:30,0.0340
2026-08-20 16:53:45,0.0345
2026-08-20 16:54:00,0.0345
2026-08-20 16:54:15,0.0345
2026-08-20 16:54:30,0.0345
2026-08-20 16:54:45,0.0340
2026-08-20 16:55:00,0.0340
2026-08-20 16:55:15,0.0340
2026-08-20 16:55:30,0.0340
2026-08-20 16:55:45,0.0348
2026-08-20 16:56:00,0.0348
2026-08-20 16:56:15,0.0348
2026-08-20 16:56:30,0.0348
2026-08-20 16:56:45,0.0341
2026-08-20 16:57:00,0.0341
2026-08-20 16:57:15,0.0341
2026-08-20 16:57:30,0.0341
2026-08-20 16:57:45,0.0345
2026-08-20 16:58:00,0.0345
2026-08-20 16:58:15,0.0345
2026-08-20 16:58:30,0.0345
2026-08-20 16:58:45,0.0338
2026-08-20 16:59:00,0.0338
2026-08-20 16:59:15,0.0338
2026-08-20 16:59:30,0.0338
2026-08-20 16:59:45,0.0340
2026-08-20 17:00:00,0.0340
2026-08-20 17:00:15,0.0340
2026-08-20 17:00:30,0.0340
2026-08-20 17:00:45,0.0342
2026-08-20 17:01:00,0.0342
2026-08-20 17:01:15,0.0342
2026-08-20 17:01:30,0.0342
2026-08-20 17:01:45,0.0339
2026-08-20 17:02:00,0.0339
2026-08-20 17:02:15,0.0339
2026-08-20 17:02:30,0.0339
2026-08-20 17:02:45,0.0345
2026-08-20 17:03:00,0.0345
2026-08-20 17:03:15,0.0345
2026-08-20 17:03:30,0.0345
2026-08-20 17:03:45,0.0340
2026-08-20 17:04:00,0.0340
2026-08-20 17:04:15,0.0340
2026-08-20 17:04:30,0.0340
2026-08-20 17:04:45,0.0346
2026-08-20 17:05:00,0.0346
2026-08-20 17:05:15,0.0346
2026-08-20 17:05:30,0.0346
2026-08-20 17:05:45,0.0338
2026-08-20 17:06:00,0.0338
2026-08-20 17:06:15,0.0338
2026-08-20 17:06:30,0.0338
2026-08-20 17:06:45,0.0315
2026-08-20 17:07:00,0.0315
2026-08-20 17:07:15,0.0315
2026-08-20 17:07:30,0.0315
2026-08-20 17:07:45,0.0281
2026-08-20 17:08:00,0.0281
2026-08-20 17:08:15,0.0281
2026-08-20 17:08:30,0.0281
2026-08-20 17:08:45,0.0255
2026-08-20 17:09:00,0.0255
2026-08-20 17:09:15,0.0255
2026-08-20 17:09:30,0.0255
2026-08-20 17:09:45,0.0221
2026-08-20 17:10:00,0.0221
2026-08-20 17:10:15,0.0221
2026-08-20 17:10:30,0.0221
2026-08-20 17:10:45,0.0197
2026-08-20 17:11:00,0.0197
2026-08-20 17:11:15,0.0197
2026-08-20 17:11:30,0.0197
2026-08-20 17:11:45,0.0197
2026-08-20 17:12:00,0.0197
2026-08-20 17:12:15,0.0197
2026-08-20 17:12:30,0.0197
2026-08-20 17:12:45,0.0197
2026-08-20 17:13:00,0.0197
2026-08-20 17:13:15,0.0197
2026-08-20 17:13:30,0.0197
2026-08-20 17:13:45,0.0197
2026-08-20 17:14:00,0.0197
2026-08-20 17:14:15,0.0197
2026-08-20 17:14:30,0.0197
2026-08-20 17:14:45,0.0197
2026-08-20 17:15:00,0.0197
2026-08-20 17:15:15,0.0197
2026-08-20 17:15:30,0.0197
2026-08-20 17:15:45,0.0197
2026-08-20 17:16:00,0.0197
2026-08-20 17:16:15,0.0197
2026-08-20 17:16:30,0.0197
2026-08-20 17:16:45,0.0197
2026-08-20 17:17:00,0.0197
2026-08-20 17:17:15,0.0197
2026-08-20 17:17:30,0.0197
2026-08-20 17:17:45,0.0197
2026-08-20 17:18:00,0.0197
2026-08-20 17:18:15,0.0197
2026-08-20 17:18:30,0.0197
2026-08-20 17:18:45,0.0197
2026-08-20 17:19:00,0.0197
2026-08-20 17:19:15,0.0197
2026-08-20 17:19:30,0.0197
2026-08-20 17:19:45,0.0197
2026-08-20 17:20:00,0.0197
2026-08-20 17:20:15,0.0197
2026-08-20 17:20:30,0.0197
2026-08-20 17:20:45,0.0197
2026-08-20 17:21:00,0.0197
2026-08-20 17:21:15,0.0197
2026-08-20 17:21:30,0.0197
2026-08-20 17:21:45,0.0197
2026-08-20 17:22:00,0.0197
2026-08-20 17:22:15,0.0197
2026-08-20 17:22:30,0.0197
2026-08-20 17:22:45,0.0197
2026-08-20 17:23:00,0.0197
2026-08-20 17:23:15,0.0197
2026-08-20 17:23:30,0.0197
2026-08-20 17:23:45,0.0196
2026-08-20 17:24:00,0.0196
2026-08-20 17:24:15,0.0196
2026-08-20 17:24:30,0.0196
2026-08-20 17:24:45,0.0216
2026-08-20 17:25:00,0.0216
2026-08-20 17:25:15,0.0216
2026-08-20 17:25:30,0.0216
2026-08-20 17:25:45,0.0257
2026-08-20 17:26:00,0.0257
2026-08-20 17:26:15,0.0257
2026-08-20 17:26:30,0.0257
2026-08-20 17:26:45,0.0299
2026-08-20 17:27:00,0.0299
2026-08-20 17:27:15,0.0299
2026-08-20 17:27:30,0.0299
2026-08-20 17:27:45,0.0341
2026-08-20 17:28:00,0.0341
2026-08-20 17:28:15,0.0341
2026-08-20 17:28:30,0.0341
2026-08-20 17:28:45,0.0381
2026-08-20 17:29:00,0.0381
2026-08-20 17:29:15,0.0381
2026-08-20 17:29:30,0.0381
2026-08-20 17:29:45,0.0401
2026-08-20 17:30:00,0.0401
2026-08-20 17:30:15,0.0401
2026-08-20 17:30:30,0.0401
2026-08-20 17:30:45,0.0402
2026-08-20 17:31:00,0.0402
2026-08-20 17:31:15,0.0402
2026-08-20 17:31:30,0.0402
2026-08-20 17:31:45,0.0402
2026-08-20 17:32:00,0.0402
2026-08-20 17:32:15,0.0402
2026-08-20 17:32:30,0.0402
2026-08-20 17:32:45,0.0402
2026-08-20 17:33:00,0.0402
2026-08-20 17:33:15,0.0402
2026-08-20 17:33:30,0.0402
2026-08-20 17:33:45,0.0403
2026-08-20 17:34:00,0.0403
2026-08-20 17:34:15,0.0403
2026-08-20 17:34:30,0.0403
2026-08-20 17:34:45,0.0406
2026-08-20 17:35:00,0.0406
2026-08-20 17:35:15,0.0406
2026-08-20 17:35:30,0.0406
2026-08-20 17:35:45,0.0400
2026-08-20 17:36:00,0.0400
2026-08-20 17:36:15,0.0400
2026-08-20 17:36:30,0.0400
2026-08-20 17:36:45,0.0387
2026-08-20 17:37:00,0.0387
2026-08-20 17:37:15,0.0387
2026-08-20 17:37:30,0.0387
2026-08-20 17:37:45,0.0376
2026-08-20 17:38:00,0.0376
2026-08-20 17:38:15,0.0376
2026-08-20 17:38:30,0.0376
2026-08-20 17:38:45,0.0364
2026-08-20 17:39:00,0.0364
2026-08-20 17:39:15,0.0364
2026-08-20 17:39:30,0.0364
2026-08-20 17:39:45,0.0354
2026-08-20 17:40:00,0.0354
2026-08-20 17:40:15,0.0354
2026-08-20 17:40:30,0.0354
2026-08-20 17:40:45,0.0353
2026-08-20 17:41:00,0.0353
2026-08-20 17:41:15,0.0353
2026-08-20 17:41:30,0.0353
2026-08-20 17:41:45,0.0353
2026-08-20 17:42:00,0.0353
2026-08-20 17:42:15,0.0353
2026-08-20 17:42:30,0.0353
2026-08-20 17:42:45,0.0353
2026-08-20 17:43:00,0.0353
2026-08-20 17:43:15,0.0353
2026-08-20 17:43:30,0.0353
2026-08-20 17:43:45,0.0354
2026-08-20 17:44:00,0.0354
2026-08-20 17:44:15,0.0354
2026-08-20 17:44:30,0.0354
2026-08-20 17:44:45,0.0365
2026-08-20 17:45:00,0.0365
2026-08-20 17:45:15,0.0365
2026-08-20 17:45:30,0.0365
2026-08-20 17:45:45,0.0363
2026-08-20 17:46:00,0.0363
2026-08-20 17:46:15,0.0363
2026-08-20 17:46:30,0.0363
2026-08-20 17:46:45,0.0366
2026-08-20 17:47:00,0.0366
2026-08-20 17:47:15,0.0366
2026-08-20 17:47:30,0.0366
2026-08-20 17:47:45,0.0369
2026-08-20 17:48:00,0.0369
2026-08-20 17:48:15,0.0369
2026-08-20 17:48:30,0.0369
2026-08-20 17:48:45,0.0373
2026-08-20 17:49:00,0.0373
2026-08-20 17:49:15,0.0373
2026-08-20 17:49:30,0.0373
2026-08-20 17:49:45,0.0375
2026-08-20 17:50:00,0.0375
2026-08-20 17:50:15,0.0375
2026-08-20 17:50:30,0.0375
2026-08-20 17:50:45,0.0376
2026-08-20 17:51:00,0.0376
2026-08-20 17:51:15,0.0376
2026-08-20 17:51:30,0.0376
2026-08-20 17:51:45,0.0375
2026-08-20 17:52:00,0.0375
2026-08-20 17:52:15,0.0375
2026-08-20 17:52:30,0.0375
2026-08-20 17:52:45,0.0374
2026-08-20 17:53:00,0.0374
2026-08-20 17:53:15,0.0374
2026-08-20 17:53:30,0.0374
2026-08-20 17:53:45,0.0373
2026-08-20 17:54:00,0.0373
2026-08-20 17:54:15,0.0373
2026-08-20 17:54:30,0.0373
2026-08-20 17:54:45,0.0355
2026-08-20 17:55:00,0.0355
2026-08-20 17:55:15,0.0355
2026-08-20 17:55:30,0.0355
2026-08-20 17:55:45,0.0318
2026-08-20 17:56:00,0.0318
2026-08-20 17:56:15,0.0318
2026-08-20 17:56:30,0.0318
2026-08-20 17:56:45,0.0298
2026-08-20 17:57:00,0.0298
2026-08-20 17:57:15,0.0298
2026-08-20 17:57:30,0.0298
2026-08-20 17:57:45,0.0278
2026-08-20 17:58:00,0.0278
2026-08-20 17:58:15,0.0278
2026-08-20 17:58:30,0.0278
2026-08-20 17:58:45,0.0259
2026-08-20 17:59:00,0.0259
2026-08-20 17:59:15,0.0259
2026-08-20 17:59:30,0.0259
2026-08-20 17:59:45,0.0237
2026-08-20 18:00:00,0.0237
2026-08-20 18:00:15,0.0237
2026-08-20 18:00:30,0.0237
2026-08-20 18:00:45,0.0232
2026-08-20 18:01:00,0.0232
2026-08-20 18:01:15,0.0232
2026-08-20 18:01:30,0.0232
2026-08-20 18:01:45,0.0232
2026-08-20 18:02:00,0.0232
2026-08-20 18:02:15,0.0232
2026-08-20 18:02:30,0.0232
2026-08-20 18:02:45,0.0232
2026-08-20 18:03:00,0.0232
2026-08-20 18:03:15,0.0232
2026-08-20 18:03:30,0.0232
2026-08-20 18:03:45,0.0232
2026-08-20 18:04:00,0.0232
2026-08-20 18:04:15,0.0232
2026-08-20 18:04:30,0.0232
2026-08-20 18:04:45,0.0239
2026-08-20 18:05:00,0.0239
2026-08-20 18:05:15,0.0239
2026-08-20 18:05:30,0.0239
2026-08-20 18:05:45,0.0279
2026-08-20 18:06:00,0.0279
2026-08-20 18:06:15,0.0279
2026-08-20 18:06:30,0.0279
2026-08-20 18:06:45,0.0321
2026-08-20 18:07:00,0.0321
2026-08-20 18:07:15,0.0321
2026-08-20 18:07:30,0.0321
2026-08-20 18:07:45,0.0357
2026-08-20 18:08:00,0.0357
2026-08-20 18:08:15,0.0357
2026-08-20 18:08:30,0.0357
2026-08-20 18:08:45,0.0392
2026-08-20 18:09:00,0.0392
2026-08-20 18:09:15,0.0392
2026-08-20 18:09:30,0.0392
2026-08-20 18:09:45,0.0424
2026-08-20 18:10:00,0.0424
2026-08-20 18:10:15,0.0424
2026-08-20 18:10:30,0.0424
2026-08-20 18:10:45,0.0438
2026-08-20 18:11:00,0.0438
2026-08-20 18:11:15,0.0438
2026-08-20 18:11:30,0.0438
2026-08-20 18:11:45,0.0439
2026-08-20 18:12:00,0.0439
2026-08-20 18:12:15,0.0439
2026-08-20 18:12:30,0.0439
2026-08-20 18:12:45,0.0437
2026-08-20 18:13:00,0.0437
2026-08-20 18:13:15,0.0437
2026-08-20 18:13:30,0.0437
2026-08-20 18:13:45,0.0437
2026-08-20 18:14:00,0.0437
2026-08-20 18:14:15,0.0437
2026-08-20 18:14:30,0.0437
2026-08-20 18:14:45,0.0440
2026-08-20 18:15:00,0.0440
2026-08-20 18:15:15,0.0440
2026-08-20 18:15:30,0.0440
2026-08-20 18:15:45,0.0463
2026-08-20 18:16:00,0.0463
2026-08-20 18:16:15,0.0463
2026-08-20 18:16:30,0.0463
2026-08-20 18:16:45,0.0479
2026-08-20 18:17:00,0.0479
2026-08-20 18:17:15,0.0479
2026-08-20 18:17:30,0.0479
2026-08-20 18:17:45,0.0486
2026-08-20 18:18:00,0.0486
2026-08-20 18:18:15,0.0486
2026-08-20 18:18:30,0.0486
2026-08-20 18:18:45,0.0491
2026-08-20 18:19:00,0.0491
2026-08-20 18:19:15,0.0491
2026-08-20 18:19:30,0.0491
2026-08-20 18:19:45,0.0497
2026-08-20 18:20:00,0.0497
2026-08-20 18:20:15,0.0497
2026-08-20 18:20:30,0.0497
2026-08-20 18:20:45,0.0499
2026-08-20 18:21:00,0.0499
2026-08-20 18:21:15,0.0499
2026-08-20 18:21:30,0.0499
2026-08-20 18:21:45,0.0498
2026-08-20 18:22:00,0.0498
2026-08-20 18:22:15,0.0498
2026-08-20 18:22:30,0.0498
2026-08-20 18:22:45,0.0498
2026-08-20 18:23:00,0.0498
2026-08-20 18:23:15,0.0498
2026-08-20 18:23:30,0.0498
2026-08-20 18:23:45,0.0498
2026-08-20 18:24:00,0.0498
2026-08-20 18:24:15,0.0498
2026-08-20 18:24:30,0.0498
2026-08-20 18:24:45,0.0498
2026-08-20 18:25:00,0.0498
2026-08-20 18:25:15,0.0498
2026-08-20 18:25:30,0.0498
2026-08-20 18:25:45,0.0454
2026-08-20 18:26:00,0.0454
2026-08-20 18:26:15,0.0454
2026-08-20 18:26:30,0.0454
2026-08-20 18:26:45,0.0390
2026-08-20 18:27:00,0.0390
2026-08-20 18:27:15,0.0390
2026-08-20 18:27:30,0.0390
2026-08-20 18:27:45,0.0348
2026-08-20 18:28:00,0.0348
2026-08-20 18:28:15,0.0348
2026-08-20 18:28:30,0.0348
2026-08-20 18:28:45,0.0307
2026-08-20 18:29:00,0.0307
2026-08-20 18:29:15,0.0307
2026-08-20 18:29:30,0.0307
2026-08-20 18:29:45,0.0264
2026-08-20 18:30:00,0.0264
2026-08-20 18:30:15,0.0264
2026-08-20 18:30:30,0.0264
2026-08-20 18:30:45,0.0232
2026-08-20 18:31:00,0.0232
2026-08-20 18:31:15,0.0232
2026-08-20 18:31:30,0.0232
2026-08-20 18:31:45,0.0228
2026-08-20 18:32:00,0.0228
2026-08-20 18:32:15,0.0228
2026-08-20 18:32:30,0.0228
2026-08-20 18:32:45,0.0228
2026-08-20 18:33:00,0.0228
2026-08-20 18:33:15,0.0228
2026-08-20 18:33:30,0.0228
2026-08-20 18:33:45,0.0228
2026-08-20 18:34:00,0.0228
2026-08-20 18:34:15,0.0228
2026-08-20 18:34:30,0.0228
2026-08-20 18:34:45,0.0228
2026-08-20 18:35:00,0.0228
2026-08-20 18:35:15,0.0228
2026-08-20 18:35:30,0.0228
2026-08-20 18:35:45,0.0234
2026-08-20 18:36:00,0.0234
2026-08-20 18:36:15,0.0234
2026-08-20 18:36:30,0.0234
2026-08-20 18:36:45,0.0248
2026-08-20 18:37:00,0.0248
2026-08-20 18:37:15,0.0248
2026-08-20 18:37:30,0.0248
2026-08-20 18:37:45,0.0257
2026-08-20 18:38:00,0.0257
2026-08-20 18:38:15,0.0257
2026-08-20 18:38:30,0.0257
2026-08-20 18:38:45,0.0267
2026-08-20 18:39:00,0.0267
2026-08-20 18:39:15,0.0267
2026-08-20 18:39:30,0.0267
2026-08-20 18:39:45,0.0275
2026-08-20 18:40:00,0.0275
2026-08-20 18:40:15,0.0275
2026-08-20 18:40:30,0.0275
2026-08-20 18:40:45,0.0281
2026-08-20 18:41:00,0.0281
2026-08-20 18:41:15,0.0281
2026-08-20 18:41:30,0.0281
2026-08-20 18:41:45,0.0284
2026-08-20 18:42:00,0.0284
