"UPF0","UPF0"
2026-08-20 16:47:30,0.213
2026-08-20 16:47:45,0.214
2026-08-20 16:48:00,0.214
2026-08-20 16:48:15,0.214
2026-08-20 16:48:30,0.214
2026-08-20 16:48:45,0.213
2026-08-20 16:49:00,0.213
2026-08-20 16:49:15,0.213
2026-08-20 16:49:30,0.213
2026-08-20 16:49:45,0.213
2026-08-20 16:50:00,0.213
2026-08-20 16:50:15,0.213
2026-08-20 16:50:30,0.213
2026-08-20 16:50:45,0.213
2026-08-20 16:51:00,0.213
2026-08-20 16:51:15,0.213
2026-08-20 16:51:30,0.213
2026-08-20 16:51:45,0.212
2026-08-20 16:52:00,0.212
2026-08-20 16:52:15,0.212
2026-08-20 16:52:30,0.212
2026-08-20 16:52:45,0.212
2026-08-20 16:53:00,0.212
2026-08-20 16:53:15,0.212
2026-08-20 16:53:30,0.212
2026-08-20 16:53:45,0.212
2026-08-20 16:54:00,0.212
2026-08-20 16:54:15,0.212
2026-08-20 16:54:30,0.212
2026-08-20 16:54:45,0.213
2026-08-20 16:55:00,0.213
2026-08-20 16:55:15,0.213
2026-08-20 16:55:30,0.213
2026-08-20 16:55:45,0.213
2026-08-20 16:56:00,0.213
2026-08-20 16:56:15,0.213
2026-08-20 16:56:30,0.213
2026-08-20 16:56:45,0.213
2026-08-20 16:57:00,0.213
2026-08-20 16:57:15,0.213
2026-08-20 16:57:30,0.213
2026-08-20 16:57:45,0.213
2026-08-20 16:58:00,0.213
2026-08-20 16:58:15,0.213
2026-08-20 16:58:30,0.213
2026-08-20 16:58:45,0.213
2026-08-20 16:59:00,0.213
2026-08-20 16:59:15,0.213
2026-08-20 16:59:30,0.213
2026-08-20 16:59:45,0.213
2026-08-20 17:00:00,0.213
2026-08-20 17:00:15,0.213
2026-08-20 17:00:30,0.213
2026-08-20 17:00:45,0.213
2026-08-20 17:01:00,0.213
2026-08-20 17:01:15,0.213
2026-08-20 17:01:30,0.213
2026-08-20 17:01:45,0.213
2026-08-20 17:02:00,0.213
2026-08-20 17:02:15,0.213
2026-08-20 17:02:30,0.213
2026-08-20 17:02:45,0.213
2026-08-20 17:03:00,0.213
2026-08-20 17:03:15,0.213
2026-08-20 17:03:30,0.213
2026-08-20 17:03:45,0.214
2026-08-20 17:04:00,0.214
2026-08-20 17:04:15,0.214
2026-08-20 17:04:30,0.214
2026-08-20 17:04:45,0.213
2026-08-20 17:05:00,0.213
2026-08-20 17:05:15,0.213
2026-08-20 17:05:30,0.213
2026-08-20 17:05:45,0.210
2026-08-20 17:06:00,0.210
2026-08-20 17:06:15,0.210
2026-08-20 17:06:30,0.210
2026-08-20 17:06:45,0.170
2026-08-20 17:07:00,0.170
2026-08-20 17:07:15,0.170
2026-08-20 17:07:30,0.170
2026-08-20 17:07:45,0.133
2026-08-20 17:08:00,0.133
2026-08-20 17:08:15,0.133
2026-08-20 17:08:30,0.133
2026-08-20 17:08:45,0.0987
2026-08-20 17:09:00,0.0987
2026-08-20 17:09:15,0.0987
2026-08-20 17:09:30,0.0987
2026-08-20 17:09:45,0.0660
2026-08-20 17:10:00,0.0660
2026-08-20 17:10:15,0.0660
2026-08-20 17:10:30,0.0660
2026-08-20 17:10:45,0.0470
2026-08-20 17:11:00,0.0470
2026-08-20 17:11:15,0.0470
2026-08-20 17:11:30,0.0470
2026-08-20 17:11:45,0.0533
2026-08-20 17:12:00,0.0533
2026-08-20 17:12:15,0.0533
2026-08-20 17:12:30,0.0533
2026-08-20 17:12:45,0.0584
2026-08-20 17:13:00,0.0584
2026-08-20 17:13:15,0.0584
2026-08-20 17:13:30,0.0584
2026-08-20 17:13:45,0.0597
2026-08-20 17:14:00,0.0597
2026-08-20 17:14:15,0.0597
2026-08-20 17:14:30,0.0597
2026-08-20 17:14:45,0.0597
2026-08-20 17:15:00,0.0597
2026-08-20 17:15:15,0.0597
2026-08-20 17:15:30,0.0597
2026-08-20 17:15:45,0.0597
2026-08-20 17:16:00,0.0597
2026-08-20 17:16:15,0.0597
2026-08-20 17:16:30,0.0597
2026-08-20 17:16:45,0.0597
2026-08-20 17:17:00,0.0597
2026-08-20 17:17:15,0.0597
2026-08-20 17:17:30,0.0597
2026-08-20 17:17:45,0.0538
2026-08-20 17:18:00,0.0538
2026-08-20 17:18:15,0.0538
2026-08-20 17:18:30,0.0538
2026-08-20 17:18:45,0.0475
2026-08-20 17:19:00,0.0475
2026-08-20 17:19:15,0.0475
2026-08-20 17:19:30,0.0475
2026-08-20 17:19:45,0.0412
2026-08-20 17:20:00,0.0412
2026-08-20 17:20:15,0.0412
2026-08-20 17:20:30,0.0412
2026-08-20 17:20:45,0.0349
2026-08-20 17:21:00,0.0349
2026-08-20 17:21:15,0.0349
2026-08-20 17:21:30,0.0349
2026-08-20 17:21:45,0.0297
2026-08-20 17:22:00,0.0297
2026-08-20 17:22:15,0.0297
2026-08-20 17:22:30,0.0297
2026-08-20 17:22:45,0.0297
2026-08-20 17:23:00,0.0297
2026-08-20 17:23:15,0.0297
2026-08-20 17:23:30,0.0297
2026-08-20 17:23:45,0.0299
2026-08-20 17:24:00,0.0299
2026-08-20 17:24:15,0.0299
2026-08-20 17:24:30,0.0299
2026-08-20 17:24:45,0.0314
2026-08-20 17:25:00,0.0314
2026-08-20 17:25:15,0.0314
2026-08-20 17:25:30,0.0314
2026-08-20 17:25:45,0.0349
2026-08-20 17:26:00,0.0349
2026-08-20 17:26:15,0.0349
2026-08-20 17:26:30,0.0349
2026-08-20 17:26:45,0.0387
2026-08-20 17:27:00,0.0387
2026-08-20 17:27:15,0.0387
2026-08-20 17:27:30,0.0387
2026-08-20 17:27:45,0.0424
2026-08-20 17:28:00,0.0424
2026-08-20 17:28:15,0.0424
2026-08-20 17:28:30,0.0424
2026-08-20 17:28:45,0.0458
2026-08-20 17:29:00,0.0458
2026-08-20 17:29:15,0.0458
2026-08-20 17:29:30,0.0458
2026-08-20 17:29:45,0.0478
2026-08-20 17:30:00,0.0478
2026-08-20 17:30:15,0.0478
2026-08-20 17:30:30,0.0478
2026-08-20 17:30:45,0.0480
2026-08-20 17:31:00,0.0480
2026-08-20 17:31:15,0.0480
2026-08-20 17:31:30,0.0480
2026-08-20 17:31:45,0.0480
2026-08-20 17:32:00,0.0480
2026-08-20 17:32:15,0.0480
2026-08-20 17:32:30,0.0480
2026-08-20 17:32:45,0.0479
2026-08-20 17:33:00,0.0479
2026-08-20 17:33:15,0.0479
2026-08-20 17:33:30,0.0479
2026-08-20 17:33:45,0.0485
2026-08-20 17:34:00,0.0485
2026-08-20 17:34:15,0.0485
2026-08-20 17:34:30,0.0485
2026-08-20 17:34:45,0.0523
2026-08-20 17:35:00,0.0523
2026-08-20 17:35:15,0.0523
2026-08-20 17:35:30,0.0523
2026-08-20 17:35:45,0.0555
2026-08-20 17:36:00,0.0555
2026-08-20 17:36:15,0.0555
2026-08-20 17:36:30,0.0555
2026-08-20 17:36:45,0.0575
2026-08-20 17:37:00,0.0575
2026-08-20 17:37:15,0.0575
2026-08-20 17:37:30,0.0575
2026-08-20 17:37:45,0.0597
2026-08-20 17:38:00,0.0597
2026-08-20 17:38:15,0.0597
2026-08-20 17:38:30,0.0597
2026-08-20 17:38:45,0.0615
2026-08-20 17:39:00,0.0615
2026-08-20 17:39:15,0.0615
2026-08-20 17:39:30,0.0615
2026-08-20 17:39:45,0.0618
2026-08-20 17:40:00,0.0618
