"UPF0","UPF0"
2026-08-20 16:39:45,0.0886
2026-08-20 16:40:00,0.0886
2026-08-20 16:40:15,0.0886
2026-08-20 16:40:30,0.0886
2026-08-20 16:40:45,0.116
2026-08-20 16:41:00,0.116
2026-08-20 16:41:15,0.116
2026-08-20 16:41:30,0.116
2026-08-20 16:41:45,0.152
2026-08-20 16:42:00,0.152
2026-08-20 16:42:15,0.152
2026-08-20 16:42:30,0.152
2026-08-20 16:42:45,0.182
2026-08-20 16:43:00,0.182
2026-08-20 16:43:15,0.182
2026-08-20 16:43:30,0.182
2026-08-20 16:43:45,0.211
2026-08-20 16:44:00,0.211
2026-08-20 16:44:15,0.211
2026-08-20 16:44:30,0.211
2026-08-20 16:44:45,0.237
2026-08-20 16:45:00,0.237
2026-08-20 16:45:15,0.237
2026-08-20 16:45:30,0.237
2026-08-20 16:45:45,0.241
2026-08-20 16:46:00,0.241
2026-08-20 16:46:15,0.241
2026-08-20 16:46:30,0.241
2026-08-20 16:46:45,0.240
2026-08-20 16:47:00,0.240
2026-08-20 16:47:15,0.240
2026-08-20 16:47:30,0.240
2026-08-20 16:47:45,0.240
2026-08-20 16:48:00,0.240
2026-08-20 16:48:15,0.240
2026-08-20 16:48:30,0.240
2026-08-20 16:48:45,0.241
2026-08-20 16:49:00,0.241
2026-08-20 16:49:15,0.241
2026-08-20 16:49:30,0.241
2026-08-20 16:49:45,0.240
2026-08-20 16:50:00,0.240
2026-08-20 16:50:15,0.240
2026-08-20 16:50:30,0.240
2026-08-20 16:50:45,0.240
2026-08-20 16:51:00,0.240
2026-08-20 16:51:15,0.240
2026-08-20 16:51:30,0.240
2026-08-20 16:51:45,0.239
2026-08-20 16:52:00,0.239
2026-08-20 16:52:15,0.239
2026-08-20 16:52:30,0.239
2026-08-20 16:52:45,0.239
2026-08-20 16:53:00,0.239
2026-08-20 16:53:15,0.239
2026-08-20 16:53:30,0.239
2026-08-20 16:53:45,0.239
2026-08-20 16:54:00,0.239
2026-08-20 16:54:15,0.239
2026-08-20 16:54:30,0.239
2026-08-20 16:54:45,0.240
2026-08-20 16:55:00,0.240
2026-08-20 16:55:15,0.240
2026-08-20 16:55:30,0.240
2026-08-20 16:55:45,0.241
2026-08-20 16:56:00,0.241
2026-08-20 16:56:15,0.241
2026-08-20 16:56:30,0.241
2026-08-20 16:56:45,0.240
2026-08-20 16:57:00,0.240
2026-08-20 16:57:15,0.240
2026-08-20 16:57:30,0.240
2026-08-20 16:57:45,0.241
2026-08-20 16:58:00,0.241
2026-08-20 16:58:15,0.241
2026-08-20 16:58:30,0.241
2026-08-20 16:58:45,0.240
2026-08-20 16:59:00,0.240
2026-08-20 16:59:15,0.240
2026-08-20 16:59:30,0.240
2026-08-20 16:59:45,0.240
2026-08-20 17:00:00,0.240
2026-08-20 17:00:15,0.240
2026-08-20 17:00:30,0.240
2026-08-20 17:00:45,0.240
2026-08-20 17:01:00,0.240
2026-08-20 17:01:15,0.240
2026-08-20 17:01:30,0.240
2026-08-20 17:01:45,0.241
2026-08-20 17:02:00,0.241
2026-08-20 17:02:15,0.241
2026-08-20 17:02:30,0.241
2026-08-20 17:02:45,0.240
2026-08-20 17:03:00,0.240
2026-08-20 17:03:15,0.240
2026-08-20 17:03:30,0.240
2026-08-20 17:03:45,0.241
2026-08-20 17:04:00,0.241
2026-08-20 17:04:15,0.241
2026-08-20 17:04:30,0.241
2026-08-20 17:04:45,0.241
2026-08-20 17:05:00,0.241
2026-08-20 17:05:15,0.241
2026-08-20 17:05:30,0.241
2026-08-20 17:05:45,0.240
2026-08-20 17:06:00,0.240
2026-08-20 17:06:15,0.240
2026-08-20 17:06:30,0.240
2026-08-20 17:06:45,0.201
2026-08-20 17:07:00,0.201
2026-08-20 17:07:15,0.201
2026-08-20 17:07:30,0.201
2026-08-20 17:07:45,0.159
2026-08-20 17:08:00,0.159
2026-08-20 17:08:15,0.159
2026-08-20 17:08:30,0.159
2026-08-20 17:08:45,0.122
2026-08-20 17:09:00,0.122
2026-08-20 17:09:15,0.122
2026-08-20 17:09:30,0.122
2026-08-20 17:09:45,0.0855
2026-08-20 17:10:00,0.0855
2026-08-20 17:10:15,0.0855
2026-08-20 17:10:30,0.0855
2026-08-20 17:10:45,0.0577
2026-08-20 17:11:00,0.0577
2026-08-20 17:11:15,0.0577
2026-08-20 17:11:30,0.0577
2026-08-20 17:11:45,0.0640
2026-08-20 17:12:00,0.0640
2026-08-20 17:12:15,0.0640
2026-08-20 17:12:30,0.0640
2026-08-20 17:12:45,0.0695
2026-08-20 17:13:00,0.0695
2026-08-20 17:13:15,0.0695
2026-08-20 17:13:30,0.0695
2026-08-20 17:13:45,0.0713
2026-08-20 17:14:00,0.0713
2026-08-20 17:14:15,0.0713
2026-08-20 17:14:30,0.0713
2026-08-20 17:14:45,0.0713
2026-08-20 17:15:00,0.0713
2026-08-20 17:15:15,0.0713
2026-08-20 17:15:30,0.0713
2026-08-20 17:15:45,0.0713
2026-08-20 17:16:00,0.0713
2026-08-20 17:16:15,0.0713
2026-08-20 17:16:30,0.0713
2026-08-20 17:16:45,0.0713
2026-08-20 17:17:00,0.0713
2026-08-20 17:17:15,0.0713
2026-08-20 17:17:30,0.0713
2026-08-20 17:17:45,0.0665
2026-08-20 17:18:00,0.0665
2026-08-20 17:18:15,0.0665
2026-08-20 17:18:30,0.0665
2026-08-20 17:18:45,0.0602
2026-08-20 17:19:00,0.0602
2026-08-20 17:19:15,0.0602
2026-08-20 17:19:30,0.0602
2026-08-20 17:19:45,0.0538
2026-08-20 17:20:00,0.0538
2026-08-20 17:20:15,0.0538
2026-08-20 17:20:30,0.0538
2026-08-20 17:20:45,0.0475
2026-08-20 17:21:00,0.0475
2026-08-20 17:21:15,0.0475
2026-08-20 17:21:30,0.0475
2026-08-20 17:21:45,0.0414
2026-08-20 17:22:00,0.0414
2026-08-20 17:22:15,0.0414
2026-08-20 17:22:30,0.0414
2026-08-20 17:22:45,0.0414
2026-08-20 17:23:00,0.0414
2026-08-20 17:23:15,0.0414
2026-08-20 17:23:30,0.0414
2026-08-20 17:23:45,0.0423
2026-08-20 17:24:00,0.0423
2026-08-20 17:24:15,0.0423
2026-08-20 17:24:30,0.0423
2026-08-20 17:24:45,0.143
2026-08-20 17:25:00,0.143
2026-08-20 17:25:15,0.143
2026-08-20 17:25:30,0.143
2026-08-20 17:25:45,0.244
2026-08-20 17:26:00,0.244
2026-08-20 17:26:15,0.244
2026-08-20 17:26:30,0.244
2026-08-20 17:26:45,0.343
